"","name","parentid","level","path_2","path_3","path_4","path_5","path_6","path_7"
"14","AAR HEALTHCARE","YZAZ1a9MIvX","4","HfVjCurKxh2","qKzosKQPl6G","YZAZ1a9MIvX","WX1kl5n2Z0i",NA,NA
"15","AAR Health Care","gD4xxgDGJ4Y","4","HfVjCurKxh2","jkG3zaihdSs","gD4xxgDGJ4Y","RrOzfK1AgMn",NA,NA
"16","AAR Health care-Kisumu","PRpKwAloU5b","4","HfVjCurKxh2","tAbBVBbueqD","PRpKwAloU5b","VeDu9Olup41",NA,NA
"17","AAR Healthcare Limited (Karen)","aTGYlhEw2Xx","4","HfVjCurKxh2","jkG3zaihdSs","aTGYlhEw2Xx","riq84143SVj",NA,NA
"18","AAR Health Care Ruaka","oMaQgNIs85x","4","HfVjCurKxh2","qKzosKQPl6G","oMaQgNIs85x","ubuPckxQ9U2",NA,NA
"19","AAR Medical Services (Docks)","C1xuoa1NAMm","4","HfVjCurKxh2","wsBsC6gjHvn","C1xuoa1NAMm","lvBP7xY9W2N",NA,NA
"20","AAR mountain mall ","j7GpbairCOi","4","HfVjCurKxh2","jkG3zaihdSs","j7GpbairCOi","WLKpy6C4uw1",NA,NA
"21","AAR Nakuru Clinic","KTayLusaU5I","4","HfVjCurKxh2","ob6SxuRcqU4","KTayLusaU5I","CSpKc4vZzgD",NA,NA
"22","AAR Ngong clinic","BLz1HkvvMkA","4","HfVjCurKxh2","Hsk1YV8kHkT","BLz1HkvvMkA","QJzFd0WT6oE",NA,NA
"23","AAR Parklands Medical Centre","f1T0Ltob8VQ","4","HfVjCurKxh2","jkG3zaihdSs","f1T0Ltob8VQ","Do1rjVqnLEK",NA,NA
"24","AAR Thika Road Clinic","j7GpbairCOi","4","HfVjCurKxh2","jkG3zaihdSs","j7GpbairCOi","C1LIWUfN9s6",NA,NA
"25","AAR Williamson","CcTr4bcVGAG","4","HfVjCurKxh2","jkG3zaihdSs","CcTr4bcVGAG","qvdl9OTOMxX",NA,NA
"26","Abakaile Dispensary","EW4Jw4dVWBt","4","HfVjCurKxh2","uyOrcHZBpW0","EW4Jw4dVWBt","QITW06phVzk",NA,NA
"27","Abakore Community Health Unit","sEGi1wY7bRB","5","HfVjCurKxh2","CeLsrJOH0g9","U7KFQn3Up3o","sEGi1wY7bRB","F38fuu7U8Vn",NA
"28","Abakore Sub District Hospital","U7KFQn3Up3o","4","HfVjCurKxh2","CeLsrJOH0g9","U7KFQn3Up3o","sEGi1wY7bRB",NA,NA
"29","Abandoned Child Care","sqNWYDHZZ6W","4","HfVjCurKxh2","jkG3zaihdSs","sqNWYDHZZ6W","SmORD2BlOtY",NA,NA
"30","Abby Medical Clinic","f1T0Ltob8VQ","4","HfVjCurKxh2","jkG3zaihdSs","f1T0Ltob8VQ","S6hMZ4s9RZu",NA,NA
"31","ABC Thange Dispensary","ZhhyithPNoI","4","HfVjCurKxh2","BoDytkJQ4Qi","ZhhyithPNoI","dkoYBq4YeMS",NA,NA
"32","Abdisamad Community Unit","bfiWYfkcaxW","5","HfVjCurKxh2","uyOrcHZBpW0","lQkHbTC1iRg","bfiWYfkcaxW","ERO4n2eFCyI",NA
"33","Abdisamad Dispensary","lQkHbTC1iRg","4","HfVjCurKxh2","uyOrcHZBpW0","lQkHbTC1iRg","bfiWYfkcaxW",NA,NA
"34","Abdiwaqo Dispensary","x6Z1sBeiyqQ","4","HfVjCurKxh2","CeLsrJOH0g9","x6Z1sBeiyqQ","s5C6llkVQBR",NA,NA
"35","Abel Migwi Johana Laboratory","A34NiI4rgnf","4","HfVjCurKxh2","Ulj33KBau7V","A34NiI4rgnf","XAMGJHHlBBF",NA,NA
"36","Aberdare Health Services","tyfDsdZ1h3R","4","HfVjCurKxh2","ahwTMNAJvrL","tyfDsdZ1h3R","AxoRQlxUmOL",NA,NA
"37","Aberdare Medical Centre Ltd","tyfDsdZ1h3R","4","HfVjCurKxh2","ahwTMNAJvrL","tyfDsdZ1h3R","NQPKyCdIa8Z",NA,NA
"38","Aberdare Medical & Surgical Clinic","dd7jowvUO95","4","HfVjCurKxh2","ptWVfaCIdVx","dd7jowvUO95","hhCsxMUUkTh",NA,NA
"39","Abidha Health Centre","XcRpb1xsM64","4","HfVjCurKxh2","u4t9H8XyU9P","XcRpb1xsM64","SlmxDUIybki",NA,NA
"40","Able Medical Clinic","sjlSPeRgl7d","4","HfVjCurKxh2","BjC1xL40gHo","sjlSPeRgl7d","t31hD2L7KAb",NA,NA
"41","Aboloi Dispensary","GpEIlwz3FvT","4","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","tpmeDcmWQWf",NA,NA
"42","Abom Community Health Unit","q2YkoU00i0A","5","HfVjCurKxh2","u4t9H8XyU9P","JNvqpOnKfGR","q2YkoU00i0A","Ph4pEeJhc2B",NA
"43","ABOSI COMMUNITY UNIT","va5acmhsWyX","5","HfVjCurKxh2","HMNARUV2CW4","KyuSYunELJI","va5acmhsWyX","KJXjIuL8p07",NA
"44","Abrahams Clinic","A34NiI4rgnf","4","HfVjCurKxh2","Ulj33KBau7V","A34NiI4rgnf","AHVO3pGtUmT",NA,NA
"45","Abra Health Services","gD4xxgDGJ4Y","4","HfVjCurKxh2","jkG3zaihdSs","gD4xxgDGJ4Y","DXhq1hKKOyt",NA,NA
"46","Absalom Wangulu Dispensary","iRK9uABUTVZ","4","HfVjCurKxh2","tAbBVBbueqD","iRK9uABUTVZ","NS2k3fejJUx",NA,NA
"47","Abundant Life Clinic","PRpKwAloU5b","4","HfVjCurKxh2","tAbBVBbueqD","PRpKwAloU5b","HfJn5yioJhf",NA,NA
"48","Abundant Medical Centre","lb5LzWiUX8Y","4","HfVjCurKxh2","qKzosKQPl6G","lb5LzWiUX8Y","wpH7SJruihy",NA,NA
"49","Acacia Medical Clinic","hBU8B1KI12P","4","HfVjCurKxh2","ob6SxuRcqU4","hBU8B1KI12P","ytfBhk1M2Yk",NA,NA
"50","Acacia Medicare Centre","BLz1HkvvMkA","4","HfVjCurKxh2","Hsk1YV8kHkT","BLz1HkvvMkA","ZvR2y31tYLn",NA,NA
"51","Access Afya Kenya Medical Clinic","nKHlZyN0lt9","4","HfVjCurKxh2","jkG3zaihdSs","nKHlZyN0lt9","fULRjpCPoum",NA,NA
"52","Access Afya Medical Centre Viwandani","wwROy3Qkwin","4","HfVjCurKxh2","jkG3zaihdSs","wwROy3Qkwin","TO9gCp6gDUv",NA,NA
"53","ACC&S Gituru Dispensary","gwYTo0wITYX","4","HfVjCurKxh2","ahwTMNAJvrL","gwYTo0wITYX","en2NybPOjPi",NA,NA
"54","Acc&S Kariua Dispensary","gwYTo0wITYX","4","HfVjCurKxh2","ahwTMNAJvrL","gwYTo0wITYX","gqkS0qU9tfi",NA,NA
"55","Ace Africa (k) Wellness Centre","CUjthlounWV","4","HfVjCurKxh2","KGHhQ5GLd4k","CUjthlounWV","HXts3S1sk3V",NA,NA
"56","Acef Ena Health Centre","kMSLkN4nsRl","4","HfVjCurKxh2","PFu8alU2KWG","kMSLkN4nsRl","VsK11IQUWdd",NA,NA
"57","Achego Community Health Unit","aSPafr5E6SG","5","HfVjCurKxh2","tAbBVBbueqD","iRK9uABUTVZ","aSPafr5E6SG","EiylrSqE0bO",NA
"58","Aciit Community Unit","zQJT13CmpDX","5","HfVjCurKxh2","Tvf1zgVZ0K4","EhchjCHkhJ9","zQJT13CmpDX","u9IQ4Y8CN0P",NA
"59","ACK Cura Medical Clinic","lb5LzWiUX8Y","4","HfVjCurKxh2","qKzosKQPl6G","lb5LzWiUX8Y","UaGbgsZQ1M8",NA,NA
"60","ACK Dispensary (Isiolo)","I2LYLqKU6AW","4","HfVjCurKxh2","bzOfj0iwfDH","I2LYLqKU6AW","Fg18SYNETmu",NA,NA
"61","ACK Gaitheri","VDlzh6w4LKv","4","HfVjCurKxh2","ahwTMNAJvrL","VDlzh6w4LKv","v3RYKbfzs1P",NA,NA
"62","ACK Ikulu Faith Dispensary","vMPhBuymSKt","4","HfVjCurKxh2","yhCUgGcCcOo","vMPhBuymSKt","oyGocWMgmif",NA,NA
"63","ACK Kanunga","SBz4c48i24Y","4","HfVjCurKxh2","qKzosKQPl6G","SBz4c48i24Y","HAXZM3YNUmN",NA,NA
"64","ACK Kibirigwi Dispensary","A34NiI4rgnf","4","HfVjCurKxh2","Ulj33KBau7V","A34NiI4rgnf","ptHBptADZbj",NA,NA
"65","Ack Leah Njoki Dispensary","l46g2PZUjoh","4","HfVjCurKxh2","ahwTMNAJvrL","l46g2PZUjoh","mVJd9uP587g",NA,NA
"66","ACK Mwingi CBHC","uE7HKhqPOtf","4","HfVjCurKxh2","j8o6iO4Njsi","uE7HKhqPOtf","wQgvycHkA4P",NA,NA
"67","ACK St Andrew Medical Clinic","FoqzDgIByL6","4","HfVjCurKxh2","jkG3zaihdSs","FoqzDgIByL6","neIPPsFEhUg",NA,NA
"68","ACK St Paul Kiamuri Dispensary","VDlzh6w4LKv","4","HfVjCurKxh2","ahwTMNAJvrL","VDlzh6w4LKv","EJugNXshySN",NA,NA
"69","ACK Tumaini Medical Clinic","GXnD5lHeanK","4","HfVjCurKxh2","ptWVfaCIdVx","GXnD5lHeanK","cicQMH7iOIv",NA,NA
"70","Acode Medical Clinic Maungu","yoGLpCTgjed","4","HfVjCurKxh2","QyGNX2DpR4h","yoGLpCTgjed","RNp406vYYZV",NA,NA
"71","Adadijolle Dispensary","qsjAa8FE8OS","4","HfVjCurKxh2","CeLsrJOH0g9","qsjAa8FE8OS","PvsPvyWOCv0",NA,NA
"72","Adanya","allzILkIelH","5","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","allzILkIelH","BD4J2ddmmlc",NA
"73","Adc Danisa Dispensary","KMWrMZrlO5u","4","HfVjCurKxh2","nrI2khZx3d0","KMWrMZrlO5u","rdvu0VThvPb",NA,NA
"74","Ademasajida Community Health Unit","xHoKwrsnDiq","5","HfVjCurKxh2","CeLsrJOH0g9","X98G0eIWdmP","xHoKwrsnDiq","Ga3uNA1fTyW",NA
"75","Ademasajida Dispensary","X98G0eIWdmP","4","HfVjCurKxh2","CeLsrJOH0g9","X98G0eIWdmP","xHoKwrsnDiq",NA,NA
"76","Aden awale Dispensary","X98G0eIWdmP","4","HfVjCurKxh2","CeLsrJOH0g9","X98G0eIWdmP","sel6RebHwso",NA,NA
"77","Aderema Community Unit","JQe7pWZBruX","5","HfVjCurKxh2","Tvf1zgVZ0K4","EhchjCHkhJ9","JQe7pWZBruX","EVn23J79iSV",NA
"78","Adiedo Dispensary","fmsyW02tPng","4","HfVjCurKxh2","nK0A12Q7MvS","fmsyW02tPng","E0sp9SbtPJo",NA,NA
"79","Administration Police comm Health Centre","U3lGZ71W9Te","4","HfVjCurKxh2","Y52XNJ50hYb","U3lGZ71W9Te","E89uGtBxrcp",NA,NA
"80","Administration Police Dispensary (Kisumu East)","PRpKwAloU5b","4","HfVjCurKxh2","tAbBVBbueqD","PRpKwAloU5b","cQB8Va1pD81",NA,NA
"81","Administration Police Senior Staff College Dispensary","toa2Hl7iVQI","4","HfVjCurKxh2","BoDytkJQ4Qi","toa2Hl7iVQI","byIrGBL0UNN",NA,NA
"82","ADOMA MEDICAL CLINIC","ka9Uv3Ckcbd","4","HfVjCurKxh2","fVra3Pwta0Q","ka9Uv3Ckcbd","JKK7RZgn2p0",NA,NA
"83","ADRA Health Centre","qyhVIMG2rUw","4","HfVjCurKxh2","R6f9znhg37c","qyhVIMG2rUw","xL422upkpQ4",NA,NA
"84","Adu Dispensary","KMWrMZrlO5u","4","HfVjCurKxh2","nrI2khZx3d0","KMWrMZrlO5u","pkKPZUYXl5l",NA,NA
"85","adumai","LH6lsUoL8YL","5","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","LH6lsUoL8YL","fiosYBPh27p",NA
"86","adumai","LH6lsUoL8YL","5","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","LH6lsUoL8YL","QtJVRgQJeTE",NA
"87","adumai cu","LH6lsUoL8YL","5","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","LH6lsUoL8YL","PkbnczRQ4lN",NA
"88","Adungosi Community Unit","cPDS7MOxcm9","5","HfVjCurKxh2","Tvf1zgVZ0K4","EhchjCHkhJ9","cPDS7MOxcm9","XSkA5SvBjpK",NA
"89","Adungosi Medical Centre","EhchjCHkhJ9","4","HfVjCurKxh2","Tvf1zgVZ0K4","EhchjCHkhJ9","ctMzO1E2IjD",NA,NA
"90","Adurkoit Community Health Unit","QBjRycsLzPv","5","HfVjCurKxh2","XWALbfAPa6n","ylWg6VvADJE","QBjRycsLzPv","yty6lTJeXIM",NA
"91","Adurkoit Dispensary","ylWg6VvADJE","4","HfVjCurKxh2","XWALbfAPa6n","ylWg6VvADJE","QBjRycsLzPv",NA,NA
"92","Adventist Centre For Care and Support (Accs)","CcTr4bcVGAG","4","HfVjCurKxh2","jkG3zaihdSs","CcTr4bcVGAG","ZjnMNXqHnuD",NA,NA
"93","Advent Med & Dentist Care Centre","FBJ9Y11esHS","4","HfVjCurKxh2","ob6SxuRcqU4","FBJ9Y11esHS","CcXV7mdobsl",NA,NA
"94","Aedemoru Community Health Unit","tpmeDcmWQWf","5","HfVjCurKxh2","Tvf1zgVZ0K4","GpEIlwz3FvT","tpmeDcmWQWf","NMFoUkR385n",NA
"95","Aenue Health Care","YZAZ1a9MIvX","4","HfVjCurKxh2","qKzosKQPl6G","YZAZ1a9MIvX","bZVgAr4LNDW",NA,NA
"96","Afraha Maternity and Nursing Home","FBJ9Y11esHS","4","HfVjCurKxh2","ob6SxuRcqU4","FBJ9Y11esHS","fUh3CKfP6Ee",NA,NA
"97","Africa Inland Church Dispensary","uov0yFMw9Qm","4","HfVjCurKxh2","CeLsrJOH0g9","uov0yFMw9Qm","ofEjko7LtOT",NA,NA
"98","Africa Muslim Agency Dispensary","MEkEH8ZmcOU","4","HfVjCurKxh2","nrI2khZx3d0","MEkEH8ZmcOU","HlxvljEmO82",NA,NA
"99","African Divine Church-Org.","gh2kzpOFCeF","4","HfVjCurKxh2","jkG3zaihdSs","gh2kzpOFCeF","rHLBktmIJak",NA,NA
"100","African Muslim agency Dispensary","ecl4YnDebUi","4","HfVjCurKxh2","bzOfj0iwfDH","ecl4YnDebUi","uzF1fKDwkXt",NA,NA
"101","Afwein Community Unit","hN8SUzKWR7g","5","HfVjCurKxh2","uyOrcHZBpW0","J69iWev2zwu","hN8SUzKWR7g","nehXiee0Xet",NA
"102","Afwein Dispensary","J69iWev2zwu","4","HfVjCurKxh2","uyOrcHZBpW0","J69iWev2zwu","hN8SUzKWR7g",NA,NA
"103","Afya B Clinic (Kibirigwi)","A34NiI4rgnf","4","HfVjCurKxh2","Ulj33KBau7V","A34NiI4rgnf","UFcAlw0DpFu",NA,NA
"104","Afya Bora clinic","HEKTLM0EwH0","5","HfVjCurKxh2","N7YETT3A9r1","TdcYaufNV4p","HEKTLM0EwH0","q30Yo5l21vq",NA
"105","Afya Bora Clinic","f6EOn3xI9YH","4","HfVjCurKxh2","Ulj33KBau7V","f6EOn3xI9YH","PiaLSCX4gA5",NA,NA
"106","Afya Bora Clinic (Karia)","E7tkGikenbD","4","HfVjCurKxh2","qKzosKQPl6G","E7tkGikenbD","V3JHhreLqeF",NA,NA
"107","Afya Bora Clinic (Meru South)","JmE1qRVQD4F","4","HfVjCurKxh2","T4urHM47nlm","JmE1qRVQD4F","yLUrPn8o7pL",NA,NA
"108","Afya Bora Clinic (Mutomo)","d3hSQ3EtnPk","4","HfVjCurKxh2","j8o6iO4Njsi","d3hSQ3EtnPk","BNcX5e9pXoY",NA,NA
"109","Afya Bora Clinic (Mwea)","f6EOn3xI9YH","4","HfVjCurKxh2","Ulj33KBau7V","f6EOn3xI9YH","lg1rCIPbHfu",NA,NA
"110","Afya Bora community unit","jyOgldxx4Ok","5","HfVjCurKxh2","qKzosKQPl6G","xhVi71INcFs","jyOgldxx4Ok","E6HnXTTwiaf",NA
"111","AFYA BORA Medical Clinic","Lm9RMwhIu3G","4","HfVjCurKxh2","mYZacFNIB3h","Lm9RMwhIu3G","nkULxjvBpSM",NA,NA
"112","Afya Bora Medical Clinic","gSJXzH1DM75","4","HfVjCurKxh2","ob6SxuRcqU4","gSJXzH1DM75","NxuIax9WmUa",NA,NA
"113","Afya Bora Medical Clinic","y2M16lesMsF","4","HfVjCurKxh2","mThvosEflAU","y2M16lesMsF","VeiYOuCdSDC",NA,NA
"114","Afya Bora Medical Clinic (Cfw Clinic Gichugu)","yOaHQLOLd1H","4","HfVjCurKxh2","Ulj33KBau7V","yOaHQLOLd1H","iTH2FlVyfE7",NA,NA
"115","Afya Bora Medical Clinic (Kilindini)","OvI6w06DhPJ","4","HfVjCurKxh2","wsBsC6gjHvn","OvI6w06DhPJ","rVtI7pd7E0o",NA,NA
"116","Afya Bora Medical Clinic (Malindi)","KMWrMZrlO5u","4","HfVjCurKxh2","nrI2khZx3d0","KMWrMZrlO5u","dzKV0uqrNvA",NA,NA
"117","Afya Bora Medical Clinic (Muchagara)","yOaHQLOLd1H","4","HfVjCurKxh2","Ulj33KBau7V","yOaHQLOLd1H","BdLHs7735de",NA,NA
"118","Afya Bora Medical Clinic (Nyeri South)","GXnD5lHeanK","4","HfVjCurKxh2","ptWVfaCIdVx","GXnD5lHeanK","Os6yrC9h94h",NA,NA
"119","Afya Bora Medical Clinic (Turkana Central)","zd8rhYqGowE","4","HfVjCurKxh2","kphDeKClFch","zd8rhYqGowE","JaM1GSe7mpQ",NA,NA
"120","Afya Bora Wasonyiro Medical Clinic","odOtfcaMg4p","4","HfVjCurKxh2","ptWVfaCIdVx","odOtfcaMg4p","fBfuaQY8oFk",NA,NA
"121","Afya Clinic","AM36DdkZ36Y","4","HfVjCurKxh2","QyGNX2DpR4h","AM36DdkZ36Y","vP7J11QzfUP",NA,NA
"122","AfyaFirst Medical clinic","C1xuoa1NAMm","4","HfVjCurKxh2","wsBsC6gjHvn","C1xuoa1NAMm","yDFS3YfMeZD",NA,NA
"123","Afya Frank Medical Clinic","BLz1HkvvMkA","4","HfVjCurKxh2","Hsk1YV8kHkT","BLz1HkvvMkA","nTQaQUexWWX",NA,NA
"124","Afya Healthcare","j7GpbairCOi","4","HfVjCurKxh2","jkG3zaihdSs","j7GpbairCOi","wdClQzCFIJ4",NA,NA
"125","Afya Health Services","dd7jowvUO95","4","HfVjCurKxh2","ptWVfaCIdVx","dd7jowvUO95","D5R3RuMi3T5",NA,NA
"126","Afya Health System Hospital","Ur2xRBDtazT","4","HfVjCurKxh2","nK0A12Q7MvS","Ur2xRBDtazT","zIH5D1lZ7bw",NA,NA
"127","Afya House","LO5he3DtiFG","4","HfVjCurKxh2","jkG3zaihdSs","LO5he3DtiFG","xneQLS3T8fN",NA,NA
"128","Afya Juja Clinic","aiqi2bz0IMI","4","HfVjCurKxh2","qKzosKQPl6G","aiqi2bz0IMI","bogmNggWmg7",NA,NA
"129","Afya Medical Clinic","xN5aPo4ZOIt","4","HfVjCurKxh2","Y52XNJ50hYb","xN5aPo4ZOIt","vNS3tcXpX3a",NA,NA
"130","Afya Medical Clinic (Dagoretti)","jOVcLeZQSsS","4","HfVjCurKxh2","qKzosKQPl6G","jOVcLeZQSsS","Ib00PIj5bW2",NA,NA
"131","Afya Medical Clinic (Garissa)","lQkHbTC1iRg","4","HfVjCurKxh2","uyOrcHZBpW0","lQkHbTC1iRg","NT6wwqpf4Li",NA,NA
"132","Afya Medical Clinic (Kangundo)","GnixPSqaV6D","4","HfVjCurKxh2","yhCUgGcCcOo","GnixPSqaV6D","KdIuTfNb8d4",NA,NA
"133","Afya Medical Clinic (Kibingoti)","A34NiI4rgnf","4","HfVjCurKxh2","Ulj33KBau7V","A34NiI4rgnf","aVPrkIutAPp",NA,NA
"134","Afya Medical Clinic (Kirinyaga)","jHmpQUlnkQk","4","HfVjCurKxh2","Ulj33KBau7V","jHmpQUlnkQk","qtG0bLpXIP9",NA,NA
"135","Afya Medical Clinic -Lake View","sr8WEz03EnP","4","HfVjCurKxh2","wsBsC6gjHvn","sr8WEz03EnP","KmvuNdxHwsv",NA,NA
"136","Afya Medical Clinic (Mbaruk)","hBU8B1KI12P","4","HfVjCurKxh2","ob6SxuRcqU4","hBU8B1KI12P","ECSEcllpsC4",NA,NA
"137","Afya Medical Clinic (Munyaka)","RAnL5kBKMIt","4","HfVjCurKxh2","mYZacFNIB3h","RAnL5kBKMIt","sncIvEveeK3",NA,NA
"138","Afya Medical Clinic (Muranga North)","u7Gkh63FYe4","4","HfVjCurKxh2","ahwTMNAJvrL","u7Gkh63FYe4","u6z6dxsLixP",NA,NA
"139","Afya Medical Clinic (Nakuru)","FBJ9Y11esHS","4","HfVjCurKxh2","ob6SxuRcqU4","FBJ9Y11esHS","CDoPxHD1mMF",NA,NA
"140","Afya Medical Clinic (Nyeri North)","vznKK4IegIL","4","HfVjCurKxh2","ptWVfaCIdVx","vznKK4IegIL","DFB8hTBFhSc",NA,NA
"141","Afya Medical Clinic (Nyeri South)","dd7jowvUO95","4","HfVjCurKxh2","ptWVfaCIdVx","dd7jowvUO95","oMeKU8boN0j",NA,NA
"142","Afya Medical Clinic (Wajir East)","uov0yFMw9Qm","4","HfVjCurKxh2","CeLsrJOH0g9","uov0yFMw9Qm","ODRJUwfTLvk",NA,NA
"143","Afya Medical Services","XvpLXU47BKs","4","HfVjCurKxh2","jkG3zaihdSs","XvpLXU47BKs","vSclqzoUNy8",NA,NA
"144","Afya Medicare Centre","YXt5ETQPRlB","4","HfVjCurKxh2","ptWVfaCIdVx","YXt5ETQPRlB","hiLPFIBtdcP",NA,NA
"145","Afya Njema Clinic","BxfsSc6Svrc","4","HfVjCurKxh2","yhCUgGcCcOo","BxfsSc6Svrc","QtQRfq2Vjsz",NA,NA
"146","Afya Njema Medical Clinic","YXt5ETQPRlB","4","HfVjCurKxh2","ptWVfaCIdVx","YXt5ETQPRlB","zXGLJzYiaPN",NA,NA
"147","Afya Njema Medical Clinic","OK0hW8DFHq3","4","HfVjCurKxh2","ob6SxuRcqU4","OK0hW8DFHq3","Oe4OFL3ogp1",NA,NA
"148","Afya Njema Medical Clinic (Kieni East)","YXt5ETQPRlB","4","HfVjCurKxh2","ptWVfaCIdVx","YXt5ETQPRlB","DqiffkkAscL",NA,NA
"149","Afya Nursing Home (Moyale)","sZjPgbWI5ra","4","HfVjCurKxh2","Eey8fT4Im3y","sZjPgbWI5ra","wb3Yxik3zTg",NA,NA
"150","Afya Royal Clinic","LO5he3DtiFG","4","HfVjCurKxh2","jkG3zaihdSs","LO5he3DtiFG","yN9xTaXYsay",NA,NA
"151","Afyastar Medical Clinic","TPRNJqSm4lK","4","HfVjCurKxh2","qKzosKQPl6G","TPRNJqSm4lK","zyB0ZAySK90",NA,NA
"152","Agah Khan Hospital (Ngong)","BLz1HkvvMkA","4","HfVjCurKxh2","Hsk1YV8kHkT","BLz1HkvvMkA","cBacbKf72Jo",NA,NA
"153","Aga Khan Clinic Kitengela","g6gTzQ5nfYq","4","HfVjCurKxh2","Hsk1YV8kHkT","g6gTzQ5nfYq","JSyhb8IX7ei",NA,NA
"154","Aga khan Greenspan Medical Centre","aCwUX5V42Zz","4","HfVjCurKxh2","jkG3zaihdSs","aCwUX5V42Zz","B0U9qBH7vGD",NA,NA
"155","Aga Khan Health Services Bungoma Centre","CUjthlounWV","4","HfVjCurKxh2","KGHhQ5GLd4k","CUjthlounWV","qqYLTXmBcnp",NA,NA
"156","Aga Khan Hospital","f1T0Ltob8VQ","4","HfVjCurKxh2","jkG3zaihdSs","f1T0Ltob8VQ","czNciMCk3z5",NA,NA
"157","Aga Khan Hospital (Juja)","aiqi2bz0IMI","4","HfVjCurKxh2","qKzosKQPl6G","aiqi2bz0IMI","r28OUMDBzqU",NA,NA
"158","Aga Khan Hospital (Kisumu)","PRpKwAloU5b","4","HfVjCurKxh2","tAbBVBbueqD","PRpKwAloU5b","hmIgXXyNHOj",NA,NA
"159","Aga Khan Hospital (Mombasa)","C1xuoa1NAMm","4","HfVjCurKxh2","wsBsC6gjHvn","C1xuoa1NAMm","ckvRzmsUore",NA,NA
"160","Agakhan Medical Centre-Busia","tvkI2HSIRW9","4","HfVjCurKxh2","Tvf1zgVZ0K4","tvkI2HSIRW9","yhxPoUsPeY9",NA,NA
"161","Aga Khan Medical Centre Kericho","GshNTMZJ5r1","4","HfVjCurKxh2","ihZsJ8alvtb","GshNTMZJ5r1","U8sl0OVOZty",NA,NA
"162","Agakhan Medical Centre Nakuru","FBJ9Y11esHS","4","HfVjCurKxh2","ob6SxuRcqU4","FBJ9Y11esHS","QmIROAIrJ78",NA,NA
"163","Aga Khan Medical Clinic","y2M16lesMsF","4","HfVjCurKxh2","mThvosEflAU","y2M16lesMsF","VV9qw7vQAB5",NA,NA
"164","agakhan medical clinic laikipia east","NHEsHI55WtO","4","HfVjCurKxh2","xuFdFy6t9AH","NHEsHI55WtO","pchvbGQcRc0",NA,NA
"165","Aga Khan Medical Clinic Ruaka","oMaQgNIs85x","4","HfVjCurKxh2","qKzosKQPl6G","oMaQgNIs85x","wHuKqxwdIQs",NA,NA
"166","Aga Khan University Hospital (Buruburu)","wwROy3Qkwin","4","HfVjCurKxh2","jkG3zaihdSs","wwROy3Qkwin","Vpj6plA6iQa",NA,NA
"167","Aga Khan University Hospital (Capital Centre)","nKHlZyN0lt9","4","HfVjCurKxh2","jkG3zaihdSs","nKHlZyN0lt9","oT4EbqEJIS9",NA,NA
